input,deltaHeron,deltaLookup,deltaTaylor
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
0.009999999776483,0.000000000000000,0.000000007450581,0.138790339231491
0.019999999552965,0.000000000000000,0.000000014901161,0.110587030649185
0.029999999329448,0.000000000000000,0.000000000000000,0.091805487871170
0.039999999105930,0.000000000000000,0.000000014901161,0.077802032232285
0.050000000745058,0.000000000000000,0.000000000000000,0.066780954599380
0.059999998658895,0.000000000000000,0.000000000000000,0.057823851704597
0.070000000298023,0.000000000000000,0.000000000000000,0.050386875867844
0.079999998211861,0.000000000000000,0.000000029802322,0.044117420911789
0.090000003576279,0.000000000000000,0.000000000000000,0.038771778345108
0.100000001490116,0.000000000000000,0.000000000000000,0.034173667430878
0.109999999403954,0.000000000000000,0.000000000000000,0.030191034078598
0.119999997317791,0.000000000000000,0.000000000000000,0.026722252368927
0.129999995231628,0.000000000000000,0.000000029802322,0.023687154054642
0.140000000596046,0.000000000000000,0.000000000000000,0.021021515130997
0.150000005960464,0.000000000000000,0.000000029802322,0.018673151731491
0.159999996423721,0.000000000000000,0.000000029802322,0.016598790884018
0.170000001788139,0.000000000000000,0.000000000000000,0.014762520790100
0.180000007152557,0.000000000000000,0.000000000000000,0.013134002685547
0.189999997615814,0.000000000000000,0.000000000000000,0.011687576770782
0.200000002980232,0.000000000000000,0.000000000000000,0.010401189327240
0.209999993443489,0.000000000000000,0.000000000000000,0.009256005287170
0.219999998807907,0.000000000000000,0.000000000000000,0.008235722780228
0.230000004172325,0.000000000000000,0.000000000000000,0.007326066493988
0.239999994635582,0.000000000000000,0.000000000000000,0.006514638662338
0.250000000000000,0.000000000000000,0.000000029802322,0.005790591239929
0.259999990463257,0.000000000000000,0.000000000000000,0.005144417285919
0.270000010728836,0.000000000000000,0.000000000000000,0.004567503929138
0.280000001192093,0.000000000000000,0.000000000000000,0.004052698612213
0.289999991655350,0.000000000000000,0.000000000000000,0.003593325614929
0.300000011920929,0.000000000000000,0.000000000000000,0.003183305263519
0.310000002384186,0.000000000000000,0.000000000000000,0.002817630767822
0.319999992847443,0.000000000000000,0.000000059604645,0.002491474151611
0.330000013113022,0.000000000000000,0.000000000000000,0.002201020717621
